DATE,Open,High,Low,Close
09/01/2021   13:09:00,       64.79,       65.30,       64.79,       64.96
09/01/2021   14:09:00,       65.54,       66.25,       65.51,       66.07
09/01/2021   15:09:00,       65.80,       65.87,       65.51,       65.60
09/01/2021   16:09:00,       65.40,       66.00,       65.40,       66.00
09/01/2021   17:09:00,       66.43,       66.83,       66.43,       66.83
09/01/2021   18:09:00,       67.23,       67.65,       67.23,       67.47
09/01/2021   19:09:00,       68.44,       68.44,       67.95,       68.00
09/02/2021   13:09:00,       68.00,       68.03,       66.42,       66.42
09/02/2021   14:09:00,       66.31,       67.10,       66.21,       66.79
09/02/2021   15:09:00,       67.00,       67.07,       66.85,       67.07
09/02/2021   16:09:00,       67.01,       67.10,       66.98,       67.01
09/02/2021   17:09:00,       66.99,       66.99,       66.99,       66.99
09/02/2021   18:09:00,       65.79,       65.79,       64.49,       64.65
09/02/2021   19:09:00,       65.64,       65.64,       65.30,       65.55
09/03/2021   13:09:00,       64.69,       66.60,       64.69,       66.54
09/03/2021   14:09:00,       68.56,       68.99,       68.38,       68.99
09/03/2021   15:09:00,       67.75,       67.97,       67.61,       67.79
09/03/2021   16:09:00,       67.90,       67.96,       67.78,       67.79
09/03/2021   17:09:00,       67.94,       68.05,       67.74,       67.87
09/03/2021   18:09:00,       67.84,       67.84,       67.70,       67.70
09/03/2021   19:09:00,       67.95,       68.54,       67.92,       68.42
09/07/2021   13:09:00,       69.80,       71.77,       69.80,       71.77
09/07/2021   14:09:00,       72.02,       72.68,       72.02,       72.09
09/07/2021   15:09:00,       72.70,       73.01,       71.90,       71.92
09/07/2021   16:09:00,       71.46,       71.56,       71.32,       71.36
09/07/2021   17:09:00,       71.98,       72.06,       71.91,       71.98
09/07/2021   18:09:00,       71.98,       72.01,       71.89,       71.93
09/07/2021   19:09:00,       71.88,       71.90,       71.61,       71.85
09/08/2021   13:09:00,       70.18,       70.33,       68.50,       68.78
09/08/2021   14:09:00,       67.80,       67.98,       65.81,       66.76
09/08/2021   15:09:00,       65.99,       66.86,       65.90,       66.86
09/08/2021   16:09:00,       66.03,       66.74,       66.03,       66.74
09/08/2021   17:09:00,       68.12,       68.19,       68.00,       68.01
09/08/2021   18:09:00,       68.31,       68.51,       68.24,       68.24
09/08/2021   19:09:00,       68.14,       68.19,       67.99,       68.00
09/09/2021   13:09:00,       69.90,       72.81,       69.79,       69.79
09/09/2021   14:09:00,       67.45,       67.69,       64.54,       65.50
09/09/2021   15:09:00,       63.35,       65.41,       63.35,       64.54
