DATE,Open,High,Low,Close
10/01/2021   13:10:00,       42.54,       42.60,       41.70,       41.98
10/01/2021   14:10:00,       42.19,       42.30,       41.98,       42.12
10/01/2021   15:10:00,       42.09,       42.20,       41.96,       42.18
10/01/2021   16:10:00,       42.57,       42.62,       42.51,       42.57
10/01/2021   17:10:00,       42.66,       42.72,       42.61,       42.71
10/01/2021   18:10:00,       42.86,       42.95,       42.85,       42.87
10/01/2021   19:10:00,       42.94,       43.03,       42.94,       43.03
10/04/2021   13:10:00,       42.90,       43.34,       42.88,       43.09
10/04/2021   14:10:00,       42.93,       43.11,       42.85,       43.10
10/04/2021   15:10:00,       42.56,       42.62,       42.54,       42.62
10/04/2021   16:10:00,       42.46,       42.53,       42.43,       42.49
10/04/2021   17:10:00,       42.49,       42.49,       42.43,       42.48
10/04/2021   18:10:00,       42.41,       42.48,       42.38,       42.41
10/04/2021   19:10:00,       42.55,       42.64,       42.52,       42.54
10/05/2021   13:10:00,       42.50,       42.79,       42.38,       42.41
10/05/2021   14:10:00,       42.39,       42.54,       42.39,       42.48
10/05/2021   15:10:00,       42.67,       42.71,       42.63,       42.71
10/05/2021   16:10:00,       42.59,       42.69,       42.58,       42.65
10/05/2021   17:10:00,       42.58,       42.62,       42.54,       42.56
10/05/2021   18:10:00,       42.45,       42.51,       42.45,       42.50
10/05/2021   19:10:00,       42.50,       42.54,       42.48,       42.50
10/06/2021   13:10:00,       42.08,       42.14,       41.93,       42.01
10/06/2021   14:10:00,       41.90,       41.98,       41.81,       41.98
10/06/2021   15:10:00,       41.93,       41.96,       41.85,       41.88
10/06/2021   16:10:00,       41.83,       41.83,       41.70,       41.73
10/06/2021   17:10:00,       41.78,       41.82,       41.75,       41.82
10/06/2021   18:10:00,       41.97,       42.03,       41.92,       42.03
10/06/2021   19:10:00,       41.95,       41.97,       41.91,       41.92
10/07/2021   13:10:00,       42.51,       42.63,       42.22,       42.53
10/07/2021   14:10:00,       42.68,       42.86,       42.67,       42.80
10/07/2021   15:10:00,       42.84,       42.86,       42.76,       42.77
10/07/2021   16:10:00,       42.84,       42.90,       42.83,       42.86
10/07/2021   17:10:00,       42.82,       42.85,       42.78,       42.78
10/07/2021   18:10:00,       42.86,       42.86,       42.80,       42.83
10/07/2021   19:10:00,       42.77,       42.80,       42.74,       42.80
10/08/2021   13:10:00,       42.75,       42.90,       42.58,       42.59
10/08/2021   14:10:00,       42.50,       42.58,       42.47,       42.47
10/08/2021   15:10:00,       42.45,       42.49,       42.42,       42.47
10/08/2021   16:10:00,       42.46,       42.47,       42.36,       42.37
10/08/2021   17:10:00,       42.44,       42.51,       42.44,       42.51
10/08/2021   18:10:00,       42.55,       42.62,       42.55,       42.60
10/08/2021   19:10:00,       42.57,       42.62,       42.57,       42.62
10/11/2021   13:10:00,       42.45,       42.58,       42.33,       42.47
10/11/2021   14:10:00,       42.53,       42.60,       42.51,       42.55
10/11/2021   15:10:00,       42.51,       42.52,       42.47,       42.47
10/11/2021   16:10:00,       42.43,       42.43,       42.35,       42.38
10/11/2021   17:10:00,       42.28,       42.28,       42.21,       42.23
10/11/2021   18:10:00,       42.08,       42.13,       42.07,       42.13
10/11/2021   19:10:00,       42.12,       42.13,       42.07,       42.13
10/12/2021   13:10:00,       42.20,       42.20,       41.87,       42.00
10/12/2021   14:10:00,       42.02,       42.05,       41.91,       42.00
10/12/2021   15:10:00,       41.99,       42.07,       41.97,       41.97
10/12/2021   16:10:00,       41.89,       41.91,       41.84,       41.85
10/12/2021   17:10:00,       41.81,       41.83,       41.80,       41.82
10/12/2021   18:10:00,       41.91,       41.96,       41.89,       41.94
10/12/2021   19:10:00,       41.77,       41.90,       41.77,       41.87
10/13/2021   13:10:00,       41.78,       41.89,       41.52,       41.55
10/13/2021   14:10:00,       41.27,       41.32,       41.13,       41.15
10/13/2021   15:10:00,       41.06,       41.12,       40.94,       41.03
10/13/2021   16:10:00,       41.22,       41.28,       41.20,       41.28
10/13/2021   17:10:00,       41.44,       41.45,       41.42,       41.45
10/13/2021   18:10:00,       41.43,       41.60,       41.39,       41.60
10/13/2021   19:10:00,       41.42,       41.50,       41.39,       41.47
10/14/2021   13:10:00,       41.56,       41.90,       41.56,       41.76
10/14/2021   14:10:00,       41.71,       41.84,       41.71,       41.73
10/14/2021   15:10:00,       41.94,       41.94,       41.90,       41.93
10/14/2021   16:10:00,       41.87,       41.89,       41.84,       41.86
10/14/2021   17:10:00,       41.81,       41.84,       41.78,       41.80
10/14/2021   18:10:00,       41.81,       41.81,       41.78,       41.80
10/14/2021   19:10:00,       41.80,       41.81,       41.75,       41.79
10/15/2021   13:10:00,       41.91,       41.91,       41.65,       41.73
10/15/2021   14:10:00,       41.97,       42.02,       41.94,       41.94
10/15/2021   15:10:00,       41.70,       41.71,       41.63,       41.63
10/15/2021   16:10:00,       41.60,       41.60,       41.51,       41.51
10/15/2021   17:10:00,       41.58,       41.63,       41.57,       41.57
10/15/2021   18:10:00,       41.51,       41.54,       41.50,       41.50
10/15/2021   19:10:00,       41.42,       41.46,       41.39,       41.42
10/18/2021   13:10:00,       41.42,       41.42,       41.05,       41.14
10/18/2021   14:10:00,       41.38,       41.43,       41.30,       41.39
10/18/2021   15:10:00,       41.55,       41.59,       41.53,       41.58
10/18/2021   16:10:00,       41.46,       41.48,       41.46,       41.47
10/18/2021   17:10:00,       41.39,       41.40,       41.38,       41.40
10/18/2021   18:10:00,       41.21,       41.25,       41.19,       41.23
