DATE,Open,High,Low,Close
2021-09-02 13:09:00,68.0,68.03,66.42,66.42
2021-09-02 14:09:00,66.31,67.1,66.21,66.79
2021-09-02 15:09:00,67.0,67.07,66.85,67.07
2021-09-02 16:09:00,67.01,67.1,66.98,67.01
2021-09-02 17:09:00,66.99,66.99,66.99,66.99
2021-09-02 18:09:00,65.79,65.79,64.49,64.65
2021-09-02 19:09:00,65.64,65.64,65.3,65.55
2021-09-03 13:09:00,64.69,66.6,64.69,66.54
2021-09-03 14:09:00,68.56,68.99,68.38,68.99
2021-09-03 15:09:00,67.75,67.97,67.61,67.79
2021-09-03 16:09:00,67.9,67.96,67.78,67.79
2021-09-03 17:09:00,67.94,68.05,67.74,67.87
2021-09-03 18:09:00,67.84,67.84,67.7,67.7
2021-09-03 19:09:00,67.95,68.54,67.92,68.42
2021-09-07 13:09:00,69.8,71.77,69.8,71.77
2021-09-07 14:09:00,72.02,72.68,72.02,72.09
2021-09-07 15:09:00,72.7,73.01,71.9,71.92
2021-09-07 16:09:00,71.46,71.56,71.32,71.36
2021-09-07 17:09:00,71.98,72.06,71.91,71.98
2021-09-07 18:09:00,71.98,72.01,71.89,71.93
2021-09-07 19:09:00,71.88,71.9,71.61,71.85
2021-09-08 13:09:00,70.18,70.33,68.5,68.78
2021-09-08 14:09:00,67.8,67.98,65.81,66.76
2021-09-08 15:09:00,65.99,66.86,65.9,66.86
2021-09-08 16:09:00,66.03,66.74,66.03,66.74
2021-09-08 17:09:00,68.12,68.19,68.0,68.01
2021-09-08 18:09:00,68.31,68.51,68.24,68.24
2021-09-08 19:09:00,68.14,68.19,67.99,68.0
2021-09-09 13:09:00,69.9,72.81,69.79,69.79
2021-09-09 14:09:00,67.45,67.69,64.54,65.5
2021-09-09 15:09:00,63.35,65.41,63.35,64.54
2021-09-09 16:09:00,65.9,66.22,65.8,66.03
2021-09-09 17:09:00,66.09,66.09,65.48,65.72
2021-09-09 18:09:00,65.85,66.33,65.84,65.94
2021-09-09 19:09:00,65.82,66.07,65.82,66.05
2021-09-10 13:09:00,66.83,67.99,66.83,67.5
2021-09-10 14:09:00,65.41,65.41,64.87,65.01
2021-09-10 15:09:00,63.51,63.9,63.24,63.62
2021-09-10 16:09:00,63.47,64.04,63.47,63.95
2021-09-10 17:09:00,64.43,64.68,63.91,63.99
2021-09-10 18:09:00,63.77,63.99,63.23,63.55
2021-09-10 19:09:00,63.37,63.65,63.33,63.49
2021-09-13 13:09:00,63.96,64.18,59.6,60.0
2021-09-13 14:09:00,59.0,60.0,59.0,59.19
2021-09-13 15:09:00,59.94,60.24,59.81,59.81
2021-09-13 16:09:00,60.47,60.47,60.17,60.35
2021-09-13 17:09:00,60.04,60.41,60.01,60.33
2021-09-13 18:09:00,60.04,60.72,60.04,60.69
2021-09-13 19:09:00,60.08,60.08,59.41,59.86
2021-09-14 13:09:00,61.81,62.5,61.64,61.89
2021-09-14 14:09:00,61.9,62.06,61.23,61.23
2021-09-14 15:09:00,62.24,62.24,61.96,61.96
2021-09-14 16:09:00,62.0,62.17,61.82,61.82
2021-09-14 17:09:00,61.66,61.8,61.4,61.4
2021-09-14 18:09:00,61.9,61.9,61.64,61.76
2021-09-14 19:09:00,61.96,61.96,61.89,61.89
2021-09-15 13:09:00,61.71,62.4,61.71,61.74
2021-09-15 14:09:00,62.29,62.37,61.78,61.84
2021-09-15 15:09:00,63.62,63.62,63.62,63.62
2021-09-15 16:09:00,63.21,63.34,63.15,63.33
2021-09-15 17:09:00,63.59,63.65,63.48,63.53
2021-09-15 18:09:00,63.97,63.97,63.97,63.97
2021-09-15 19:09:00,65.27,66.04,65.27,65.95
2021-09-16 13:09:00,68.64,68.64,67.0,67.97
2021-09-16 14:09:00,68.48,69.98,68.35,68.6
2021-09-16 15:09:00,70.19,70.75,70.09,70.75
2021-09-16 16:09:00,70.95,71.4,70.93,71.27
2021-09-16 17:09:00,71.05,71.1,71.03,71.08
2021-09-16 18:09:00,71.61,71.86,71.52,71.86
2021-09-16 19:09:00,72.21,72.21,72.09,72.1
2021-09-17 13:09:00,72.07,72.07,69.89,70.42
2021-09-17 14:09:00,70.05,70.05,68.95,69.31
2021-09-17 15:09:00,69.0,69.08,68.69,68.93
2021-09-17 16:09:00,68.27,68.46,68.01,68.39
2021-09-17 17:09:00,69.08,69.08,68.86,69.03
2021-09-17 18:09:00,68.23,68.99,68.23,68.99
2021-09-17 19:09:00,69.94,70.06,69.42,69.42
2021-09-20 13:09:00,64.03,65.37,62.02,65.3
2021-09-20 14:09:00,66.16,66.16,63.49,64.45
2021-09-20 15:09:00,64.51,64.9,64.5,64.5
2021-09-20 16:09:00,63.44,63.89,62.81,63.89
2021-09-20 17:09:00,63.89,64.18,63.89,64.18
2021-09-20 18:09:00,64.44,64.44,64.1,64.1
2021-09-20 19:09:00,63.85,64.0,63.78,63.84
2021-09-21 13:09:00,64.65,64.65,63.36,64.2
2021-09-21 14:09:00,64.46,64.46,61.81,62.0
2021-09-21 15:09:00,63.54,64.0,63.18,63.49
2021-09-21 16:09:00,64.1,64.1,64.1,64.1
2021-09-21 17:09:00,62.88,63.21,62.76,63.11
2021-09-21 18:09:00,64.11,65.0,64.04,64.84
2021-09-21 19:09:00,63.1,63.98,62.9,63.98
2021-09-22 13:09:00,64.55,64.55,62.5,62.5
2021-09-22 14:09:00,63.9,64.85,63.9,64.85
2021-09-22 15:09:00,64.21,64.28,63.82,63.87
2021-09-22 16:09:00,64.41,64.5,64.26,64.33
2021-09-22 17:09:00,64.53,64.97,64.44,64.97
2021-09-22 18:09:00,64.45,65.18,64.45,65.0
2021-09-22 19:09:00,64.04,64.04,64.04,64.04
2021-09-23 13:09:00,64.2,64.2,63.25,63.3
2021-09-23 14:09:00,63.01,63.01,62.27,62.27
2021-09-23 15:09:00,61.11,61.13,61.08,61.13
2021-09-23 16:09:00,61.0,61.0,60.3,60.3
2021-09-23 17:09:00,60.57,60.57,60.57,60.57
2021-09-23 18:09:00,62.09,62.11,61.81,62.04
2021-09-23 19:09:00,60.83,61.28,60.82,60.87
2021-09-24 13:09:00,60.18,61.42,60.18,61.13
