DATE,Open,High,Low,Close
10/01/2021   13:10:00,      141.89,      142.04,      140.59,      140.80
10/01/2021   14:10:00,      140.54,      140.68,      140.13,      140.27
10/01/2021   15:10:00,      140.05,      140.27,      139.57,      140.15
10/01/2021   16:10:00,      140.32,      140.55,      140.07,      140.26
10/01/2021   17:10:00,      140.44,      140.87,      140.31,      140.73
10/01/2021   18:10:00,      141.35,      141.76,      141.29,      141.35
10/01/2021   19:10:00,      142.09,      142.40,      142.00,      142.38
10/04/2021   13:10:00,      141.68,      142.20,      140.73,      140.80
10/04/2021   14:10:00,      140.72,      140.88,      140.08,      140.47
10/04/2021   15:10:00,      139.11,      139.36,      138.79,      139.22
10/04/2021   16:10:00,      139.22,      139.25,      138.86,      138.99
10/04/2021   17:10:00,      138.51,      138.90,      138.27,      138.85
10/04/2021   18:10:00,      138.56,      139.03,      138.55,      138.71
10/04/2021   19:10:00,      138.95,      139.31,      138.87,      138.88
10/05/2021   13:10:00,      139.63,      140.40,      139.40,      139.60
10/05/2021   14:10:00,      139.83,      140.10,      139.68,      140.01
10/05/2021   15:10:00,      140.55,      141.09,      140.50,      141.02
10/05/2021   16:10:00,      141.54,      141.89,      141.33,      141.78
10/05/2021   17:10:00,      141.94,      142.00,      141.60,      141.66
10/05/2021   18:10:00,      142.00,      142.19,      141.99,      142.08
10/05/2021   19:10:00,      141.99,      142.11,      141.92,      142.10
10/06/2021   13:10:00,      139.53,      140.18,      139.05,      140.12
10/06/2021   14:10:00,      139.08,      139.49,      138.38,      139.44
10/06/2021   15:10:00,      140.30,      140.37,      139.94,      140.22
10/06/2021   16:10:00,      140.39,      140.41,      139.90,      139.93
10/06/2021   17:10:00,      139.88,      139.91,      139.57,      139.82
10/06/2021   18:10:00,      140.93,      141.29,      140.72,      141.27
10/06/2021   19:10:00,      141.14,      141.41,      141.10,      141.28
10/07/2021   13:10:00,      143.03,      143.73,      142.72,      143.52
10/07/2021   14:10:00,      143.86,      144.18,      143.79,      144.04
10/07/2021   15:10:00,      144.01,      144.05,      143.61,      143.74
10/07/2021   16:10:00,      144.13,      144.13,      143.69,      143.70
10/07/2021   17:10:00,      144.04,      144.09,      143.92,      144.05
10/07/2021   18:10:00,      143.94,      143.99,      143.68,      143.77
10/07/2021   19:10:00,      143.54,      143.75,      143.44,      143.74
10/08/2021   13:10:00,      144.08,      144.16,      143.12,      143.37
10/08/2021   14:10:00,      143.20,      143.67,      143.17,      143.53
10/08/2021   15:10:00,      143.29,      143.46,      143.18,      143.42
10/08/2021   16:10:00,      143.02,      143.19,      142.93,      143.06
10/08/2021   17:10:00,      142.98,      143.05,      142.86,      142.92
10/08/2021   18:10:00,      142.87,      142.99,      142.84,      142.96
10/08/2021   19:10:00,      143.07,      143.30,      142.99,      143.25
10/11/2021   13:10:00,      142.26,      143.51,      141.82,      143.42
10/11/2021   14:10:00,      143.94,      144.41,      143.94,      144.39
10/11/2021   15:10:00,      144.46,      144.70,      144.46,      144.58
10/11/2021   16:10:00,      144.42,      144.45,      144.01,      144.03
10/11/2021   17:10:00,      144.04,      144.04,      143.69,      143.78
10/11/2021   18:10:00,      143.58,      143.77,      143.51,      143.76
10/11/2021   19:10:00,      143.40,      143.52,      143.30,      143.50
10/12/2021   13:10:00,      143.21,      143.21,      142.18,      142.18
10/12/2021   14:10:00,      141.86,      142.28,      141.86,      142.00
10/12/2021   15:10:00,      141.54,      142.16,      141.54,      142.02
10/12/2021   16:10:00,      142.31,      142.98,      142.26,      142.48
10/12/2021   17:10:00,      141.85,      141.88,      141.64,      141.78
10/12/2021   18:10:00,      141.89,      142.18,      141.81,      142.17
10/12/2021   19:10:00,      141.97,      142.01,      141.79,      141.95
10/13/2021   13:10:00,      141.24,      141.39,      140.09,      140.17
10/13/2021   14:10:00,      139.73,      140.18,      139.52,      139.60
10/13/2021   15:10:00,      139.80,      140.02,      139.76,      139.83
10/13/2021   16:10:00,      140.12,      140.14,      139.81,      140.03
10/13/2021   17:10:00,      140.01,      140.37,      140.01,      140.23
10/13/2021   18:10:00,      140.45,      140.99,      140.29,      140.86
10/13/2021   19:10:00,      140.37,      140.69,      140.28,      140.51
10/14/2021   13:10:00,      142.11,      142.44,      141.52,      142.21
10/14/2021   14:10:00,      142.80,      143.23,      142.70,      143.10
10/14/2021   15:10:00,      142.86,      142.96,      142.64,      142.75
10/14/2021   16:10:00,      143.19,      143.45,      143.19,      143.44
10/14/2021   17:10:00,      143.51,      143.59,      143.34,      143.59
10/14/2021   18:10:00,      143.59,      143.59,      143.45,      143.57
10/14/2021   19:10:00,      143.82,      143.83,      143.65,      143.74
10/15/2021   13:10:00,      143.77,      144.57,      143.51,      144.45
10/15/2021   14:10:00,      144.35,      144.37,      144.01,      144.05
10/15/2021   15:10:00,      144.39,      144.44,      144.15,      144.15
10/15/2021   16:10:00,      143.74,      143.93,      143.72,      143.90
10/15/2021   17:10:00,      144.22,      144.30,      144.05,      144.16
10/15/2021   18:10:00,      144.41,      144.56,      144.37,      144.54
10/15/2021   19:10:00,      144.63,      144.64,      144.30,      144.44
10/18/2021   13:10:00,      143.45,      144.00,      143.19,      143.92
10/18/2021   14:10:00,      144.32,      144.66,      144.18,      144.65
10/18/2021   15:10:00,      144.83,      145.46,      144.83,      145.29
10/18/2021   16:10:00,      145.41,      145.47,      145.29,      145.31
10/18/2021   17:10:00,      145.23,      145.28,      144.97,      145.17
