DATE,Open,High,Low,Close
10/01/2021   13:10:00,       24.01,       24.42,       23.84,       23.84
10/01/2021   14:10:00,       23.70,       23.97,       23.60,       23.92
10/01/2021   15:10:00,       23.85,       23.87,       23.64,       23.84
10/01/2021   16:10:00,       23.90,       23.92,       23.84,       23.86
10/01/2021   17:10:00,       23.89,       24.00,       23.89,       23.96
10/01/2021   18:10:00,       23.97,       24.00,       23.96,       23.96
10/01/2021   19:10:00,       24.27,       24.40,       24.27,       24.40
10/04/2021   13:10:00,       23.86,       23.86,       23.60,       23.69
10/04/2021   14:10:00,       23.60,       23.60,       23.38,       23.44
10/04/2021   15:10:00,       23.12,       23.28,       22.74,       23.20
10/04/2021   16:10:00,       23.01,       23.14,       22.95,       23.03
10/04/2021   17:10:00,       23.27,       23.27,       23.15,       23.17
10/04/2021   18:10:00,       23.22,       23.27,       23.17,       23.18
10/04/2021   19:10:00,       23.15,       23.20,       23.01,       23.01
10/05/2021   13:10:00,       23.36,       23.52,       23.05,       23.52
10/05/2021   14:10:00,       23.62,       23.68,       23.52,       23.59
10/05/2021   15:10:00,       23.64,       23.76,       23.64,       23.76
10/05/2021   16:10:00,       23.28,       23.34,       23.28,       23.34
10/05/2021   17:10:00,       23.33,       23.33,       23.33,       23.33
10/05/2021   18:10:00,       23.55,       23.55,       23.55,       23.55
10/05/2021   19:10:00,       23.48,       23.57,       23.48,       23.57
10/06/2021   13:10:00,       23.13,       23.39,       23.13,       23.33
10/06/2021   14:10:00,       23.05,       23.34,       23.00,       23.34
10/06/2021   15:10:00,       23.38,       23.39,       23.24,       23.30
10/06/2021   16:10:00,       23.73,       23.74,       23.67,       23.74
10/06/2021   17:10:00,       23.66,       23.66,       23.56,       23.61
10/06/2021   18:10:00,       23.92,       24.10,       23.92,       24.10
10/06/2021   19:10:00,       24.34,       24.41,       24.13,       24.15
10/07/2021   13:10:00,       24.52,       24.74,       24.40,       24.71
10/07/2021   14:10:00,       24.95,       25.14,       24.91,       25.11
10/07/2021   15:10:00,       25.40,       25.67,       25.40,       25.49
10/07/2021   16:10:00,       25.44,       25.51,       25.34,       25.35
10/07/2021   17:10:00,       25.15,       25.17,       25.01,       25.02
10/07/2021   18:10:00,       25.24,       25.26,       25.04,       25.04
10/07/2021   19:10:00,       24.96,       25.02,       24.84,       24.85
10/08/2021   13:10:00,       25.08,       25.30,       24.90,       25.30
10/08/2021   14:10:00,       25.30,       25.44,       25.30,       25.44
10/08/2021   15:10:00,       25.43,       25.51,       25.40,       25.51
10/08/2021   16:10:00,       25.09,       25.22,       25.06,       25.22
10/08/2021   17:10:00,       24.94,       24.98,       24.94,       24.98
10/08/2021   18:10:00,       24.79,       24.84,       24.77,       24.84
10/08/2021   19:10:00,       24.93,       24.99,       24.86,       24.99
10/11/2021   13:10:00,       25.11,       25.59,       25.11,       25.58
10/11/2021   14:10:00,       25.73,       25.83,       25.65,       25.66
10/11/2021   15:10:00,       25.87,       25.87,       25.59,       25.84
10/11/2021   16:10:00,       25.95,       26.02,       25.95,       25.97
10/11/2021   17:10:00,       25.92,       25.97,       25.74,       25.77
10/11/2021   18:10:00,       25.61,       25.64,       25.53,       25.64
10/11/2021   19:10:00,       25.86,       25.94,       25.77,       25.79
10/12/2021   13:10:00,       25.46,       25.65,       25.39,       25.42
10/12/2021   14:10:00,       25.13,       25.32,       25.11,       25.11
10/12/2021   15:10:00,       25.20,       25.20,       25.04,       25.12
10/12/2021   16:10:00,       25.57,       25.66,       25.57,       25.65
